total_cases,total_deaths,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,iso_code,continent
185729.0,311.0,2211113.0,951511.0,399225.0,385099.0,167187.0,MDV,Asia
32946.0,743.0,708110.0,4754851.0,3518336.0,2876246.0,0.0,MLI,Africa
117338.0,827.0,1950858.0,1380226.0,478695.0,471442.0,464470.0,MLT,Europe
15598.0,17.0,3184.0,0.0,0.0,0.0,0.0,MHL,Oceania
63667.0,997.0,998154.0,4066473.0,2099908.0,1537648.0,382966.0,MRT,Africa
295161.0,1044.0,1282782.0,2613825.0,1123773.0,1088142.0,639811.0,MUS,Africa
7430816.0,332850.0,15569464.0,225063079.0,99071001.0,82652919.0,57026630.0,MEX,North America
23671.0,60.0,0.0,0.0,0.0,0.0,0.0,FSM,Oceania
603750.0,11974.0,0.0,2278699.0,1106705.0,1075874.0,397541.0,MDA,Europe
16108.0,67.0,0.0,65140.0,28875.0,25667.0,10598.0,MCO,Europe
1007895.0,2136.0,7408778.0,5492919.0,2272965.0,2175617.0,1044337.0,MNG,Asia
287668.0,2800.0,0.0,679171.0,292783.0,284869.0,101519.0,MNE,Europe
1403.0,8.0,0.0,4619.0,2104.0,1952.0,563.0,MSR,North America
1272400.0,16296.0,11738659.0,55380717.0,25018638.0,23520015.0,6879490.0,MAR,Africa
233098.0,2242.0,1341769.0,29457535.0,18641485.0,18466955.0,1083523.0,MOZ,Africa
633901.0,19490.0,8332037.0,64549994.0,34777314.0,27545329.0,2227351.0,MMR,Asia
171059.0,4090.0,1056045.0,978339.0,606899.0,530067.0,105989.0,NAM,Africa
5247.0,1.0,0.0,32157.0,13106.0,11346.0,7705.0,NRU,Oceania
1001135.0,12020.0,6969050.0,60976433.0,27718158.0,24232876.0,9025399.0,NPL,Asia
8602598.0,23081.0,30687346.0,36104942.0,12775557.0,11957652.0,9417108.0,NLD,Europe
80007.0,314.0,0.0,479745.0,192285.0,184709.0,102751.0,NCL,Oceania
2208558.0,2534.0,7264156.0,11977450.0,4300684.0,4139900.0,3536866.0,NZL,Oceania
15627.0,245.0,196380.0,12241350.0,6228515.0,6012835.0,0.0,NIC,North America
9508.0,315.0,254538.0,7241942.0,6124474.0,5360404.0,0.0,NER,Africa
266463.0,3155.0,5279608.0,111985403.0,79248347.0,66717081.0,10859974.0,NGA,Africa
0.0,0.0,0.0,4920.0,1636.0,1634.0,1224.0,NIU,Oceania
121984098.0,1581146.0,0.0,1141650923.0,458958545.0,394076066.0,248081831.0,OWID_NAM,0
1.0,6.0,182968.0,0.0,0.0,0.0,0.0,PRK,Asia
346733.0,9653.0,2074132.0,1862732.0,854479.0,838085.0,161593.0,MKD,Europe
0.0,0.0,0.0,861519.0,301673.0,313067.0,80243.0,OWID_CYN,Asia
0.0,0.0,0.0,4483438.0,1430129.0,1360314.0,1557359.0,OWID_NIR,Europe
0.0,0.0,59110.0,0.0,0.0,0.0,0.0,MNP,Oceania
1478719.0,5175.0,11154564.0,12145560.0,4346995.0,4054726.0,3743839.0,NOR,Europe
13968640.0,24638.0,0.0,80906940.0,28953868.0,27917422.0,23989229.0,OWID_OCE,0
399449.0,4628.0,2031675.0,7086050.0,3257365.0,3048826.0,779859.0,OMN,Asia
1576736.0,30641.0,28889568.0,333510412.0,162218112.0,139227429.0,49962657.0,PAK,Asia
5988.0,9.0,59627.0,0.0,0.0,0.0,0.0,PLW,Oceania
703228.0,5708.0,0.0,3748571.0,2012767.0,1776973.0,336967.0,PSE,Asia
1030658.0,8600.0,6499239.0,8756680.0,3526529.0,3168992.0,2027869.0,PAN,North America
46792.0,670.0,249149.0,717736.0,372646.0,312188.0,32902.0,PNG,Oceania
807453.0,19849.0,2609819.0,9568675.0,3985466.0,3541521.0,2041688.0,PRY,South America
