Country,Total_Cases,Total_Deaths,Total_Vaccinations
United States,103305370,670987625,0
Upper middle income,144686541,5404532638,0
Uruguay,1034046,8936983,0
Uzbekistan,250932,0,0
Vanuatu,12014,366638,0
Vatican,29,0,0
Venezuela,551940,0,0
Vietnam,11526858,266211063,0
Wallis and Futuna,3427,0,0
World,674463693,13306563904,0
Yemen,11945,0,0
Zambia,342831,0,0
Zimbabwe,263921,0,0
